,id_registro,arco,longitud,latitud,carga
4052,4053,371-5512,-75.56528106902334,6.330061685195347,356.0
4053,4054,371-5512,-75.56518780871454,6.3301480199455975,356.0
4054,4055,371-5512,-75.56509454840575,6.330234354695849,356.0
4055,4056,372-3753,-75.56461482965497,6.322932978832383,3486.0
4056,4057,372-3753,-75.56622525507989,6.3226473443361035,3486.0
4057,4058,372-3753,-75.56582264872365,6.322718752960174,3486.0
4058,4059,372-3753,-75.56542004236744,6.322790161584242,3486.0
4059,4060,372-3753,-75.5650174360112,6.322861570208312,3486.0
4085,4086,374-3747,-75.56727716472199,6.31402643257896,936.0
4086,4087,374-3747,-75.56961454539639,6.313407906916832,936.0
4087,4088,374-3747,-75.5690302002278,6.3135625383323655,936.0
4088,4089,374-3747,-75.56844585505921,6.313717169747896,936.0
4089,4090,374-3747,-75.56786150989059,6.313871801163429,936.0
4095,4096,375-3872,-75.58206416062937,6.311367488375994,10659.0
4096,4097,375-3872,-75.5818645286946,6.31317726448737,10659.0
4097,4098,375-3872,-75.58191443667829,6.312724820459527,10659.0
4098,4099,375-3872,-75.58196434466198,6.312272376431682,10659.0
4099,4100,375-3872,-75.58201425264568,6.3118199324038375,10659.0
4100,4101,375-3870,-75.58359767450305,6.3134959834873845,7860.0
4101,4102,375-3870,-75.5818645286946,6.31317726448737,7860.0
4102,4103,375-3870,-75.58229781514672,6.3132569442373745,7860.0
4103,4104,375-3870,-75.58273110159881,6.313336623987378,7860.0
4104,4105,375-3870,-75.58316438805093,6.313416303737379,7860.0
4105,4106,376-4589,-75.58939277504105,6.18963981726449,84.0
4106,4107,376-4589,-75.58843600360998,6.190834922510103,84.0
4107,4108,376-4589,-75.58867519646775,6.190536146198699,84.0
4108,4109,376-4589,-75.58891438932551,6.190237369887296,84.0
4109,4110,376-4589,-75.5891535821833,6.189938593575892,84.0
4315,4316,391-4577,-75.57783677381073,6.175029609920917,10.0
4316,4317,391-4577,-75.57810126318836,6.170900271397582,10.0
4317,4318,391-4577,-75.57803514084395,6.171932606028416,10.0
4318,4319,391-4577,-75.57796901849954,6.172964940659249,10.0
4319,4320,391-4577,-75.57790289615515,6.173997275290081,10.0
4330,4331,392-4579,-75.58618732862006,6.153947249233331,2143.0
4331,4332,392-4579,-75.58501360347438,6.1525930629773224,2143.0
4332,4333,392-4579,-75.5853070347608,6.152931609541326,2143.0
4333,4334,392-4579,-75.58560046604723,6.153270156105328,2143.0
4334,4335,392-4579,-75.58589389733366,6.15360870266933,2143.0
4355,4356,394-4379,-75.58082898781696,6.158155938469799,2288.0
4356,4357,394-4379,-75.58039863409698,6.1557731782220975,2288.0
4357,4358,394-4379,-75.58050622252699,6.156368868284023,2288.0
4358,4359,394-4379,-75.58061381095699,6.156964558345948,2288.0
4359,4360,394-4379,-75.58072139938695,6.157560248407871,2288.0
4360,4361,394-4586,-75.57756322837187,6.154021504911258,951.0
4361,4362,394-4586,-75.58039863409698,6.1557731782220975,951.0
4362,4363,394-4586,-75.5796897826657,6.155335259894388,951.0
4363,4364,394-4586,-75.57898093123444,6.154897341566678,951.0
4364,4365,394-4586,-75.57827207980316,6.1544594232389676,951.0
4370,4371,395-4369,-75.5845531521839,6.177804219618796,1243.0
4371,4372,395-4369,-75.58552643128644,6.1783711970693025,1243.0
4372,4373,395-4369,-75.5852831115108,6.178229452706676,1243.0
4373,4374,395-4369,-75.58503979173517,6.178087708344048,1243.0
4374,4375,395-4369,-75.58479647195955,6.177945963981424,1243.0
4405,4406,398-4581,-75.5936682091757,6.163072210547023,1529.0
4406,4407,398-4581,-75.59180203412646,6.1615680578947005,1529.0
4407,4408,398-4581,-75.59226857788876,6.161944096057781,1529.0
4408,4409,398-4581,-75.59273512165106,6.162320134220861,1529.0
4409,4410,398-4581,-75.59320166541339,6.162696172383942,1529.0
4410,4411,398-4385,-75.58954537720217,6.164690751746549,30.0
4411,4412,398-4385,-75.59180203412646,6.1615680578947005,30.0
4412,4413,398-4385,-75.59123786989537,6.162348731357663,30.0
4413,4414,398-4385,-75.5906737056643,6.163129404820625,30.0
4414,4415,398-4385,-75.59010954143324,6.163910078283585,30.0
4450,4451,402-4418,-75.60596421588238,6.156818768216058,4223.0
4451,4452,402-4418,-75.60610429711383,6.157074340109414,4223.0
4452,4453,402-4418,-75.60606927680597,6.157010447136075,4223.0
